Model,Accuracy,Recall,F1 Score,CV Mean Accuracy,CV Std Accuracy
Logistic Regression,0.8741721854304636,0.8272884283246977,0.8485385296722764,0.8532768818160716,0.009970005485809633
Random Forest,0.8778513612950699,0.8031088082901554,0.8485401459854015,0.8694767052780137,0.00410734863906512
Decision Tree,0.9558498896247241,0.9326424870466321,0.9473684210526315,0.9534244486574128,0.0026378029532023763
LDA,0.8631346578366446,0.7616580310880829,0.8258426966292135,,
